,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9
1985.3846153846155,15.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,4.0
1985.4615384615386,7.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,3.0
1985.5384615384614,6.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,5.0
1985.6153846153845,10.0,2.0,3.0,1.0,5.0,4.0,0.0,1.0,2.0
1985.6923076923076,12.0,2.0,3.0,4.0,4.0,1.0,0.0,0.0,2.0
1985.7692307692307,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
1985.8461538461538,7.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,3.0
1985.923076923077,3.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0
1986.0,10.0,1.0,4.0,1.0,3.0,0.0,1.0,3.0,3.0
1986.076923076923,6.0,3.0,2.0,5.0,7.0,4.0,2.0,2.0,1.0
1986.1538461538462,7.0,2.0,1.0,3.0,5.0,0.0,1.0,1.0,3.0
1986.2307692307693,2.0,2.0,2.0,6.0,3.0,1.0,4.0,3.0,2.0
1986.3076923076924,11.0,2.0,1.0,4.0,8.0,1.0,3.0,2.0,1.0
1986.3846153846155,10.0,2.0,5.0,4.0,12.0,0.0,3.0,2.0,3.0
1986.4615384615386,8.0,5.0,6.0,9.0,8.0,1.0,6.0,2.0,3.0
1986.5384615384614,9.0,4.0,6.0,17.0,12.0,1.0,11.0,6.0,1.0
1986.6153846153845,11.0,4.0,8.0,2.0,6.0,0.0,3.0,4.0,3.0
1986.6923076923076,7.0,2.0,3.0,7.0,13.0,2.0,4.0,2.0,2.0
1986.7692307692307,6.0,0.0,3.0,4.0,8.0,0.0,10.0,3.0,1.0
1986.8461538461538,4.0,3.0,6.0,5.0,6.0,1.0,8.0,3.0,3.0
1986.923076923077,7.0,4.0,4.0,6.0,10.0,0.0,6.0,2.0,3.0
1987.0,8.0,4.0,4.0,9.0,15.0,0.0,4.0,5.0,3.0
