Time,mean,index_of_dispersion,autocorrelation,coefficient_of_variation,kurtosis,skewness,standard_deviation,ac2,timeseries,all
3656.5,0.505278975795159,0.5101045409081817,0.496075775155031,0.5042460092018404,0.4995823164632927,0.5003611122224445,0.5079208641728346,0.4963411482296459,0.49716959391878374,0.49519523904780954
3684.5,0.5052937787557512,0.510057451490298,0.49507545509101825,0.5041470294058812,0.49906457291458295,0.49999287857571517,0.507896099219844,0.49606825365073015,0.4981370274054811,0.4954779355871174
3712.5,0.5054171634326865,0.5099591918383677,0.4946894978995799,0.5036941788357672,0.49807733546709343,0.4999715143028606,0.5079585517103421,0.49644108821764354,0.5040730946189238,0.49668125625125026
3740.5,0.5058280056011203,0.5101352670534107,0.49614146829365874,0.5031173834766953,0.4976654530906181,0.5008255651130226,0.5082593718743749,0.4954867373474695,0.5133746749349871,0.4992322064412883
3768.5,0.505891298259652,0.5100352470494098,0.49691666333266654,0.5028150030006001,0.4971158631726345,0.5007144228845769,0.5082613722744549,0.4973931586317264,0.5026572114422885,0.499946349269854
3796.5,0.5063220644128825,0.5101803160632127,0.4973345469093819,0.5022943388677735,0.4973720344068814,0.5017783156631327,0.508579075815163,0.498580476095219,0.5141016203240648,0.5025559911982396
3824.5,0.5064418,0.5103909999999999,0.49864796,0.50214732,0.49788808000000007,0.50300532,0.5087695600000001,0.4990454,0.5084721,0.5049748000000001
3852.5,0.5067482400000001,0.51078032,0.50055828,0.50232624,0.49801532,0.5042401999999999,0.5091237200000001,0.5001702,0.50753816,0.50919252
3880.5,0.5069328399999999,0.51123516,0.50103984,0.5025645200000001,0.49857488000000005,0.50574988,0.50940536,0.50075164,0.50443136,0.51164968
3908.5,0.5074206000000001,0.51155976,0.50331928,0.50204236,0.49922404,0.50748832,0.5097967600000001,0.5025046,0.5182114600000001,0.51533308
3936.5,0.5078402399999999,0.51201176,0.5047532,0.5019032400000001,0.50003748,0.50960768,0.5102402,0.5035354400000001,0.5124863999999999,0.51933728
3964.5,0.5081678000000001,0.51235328,0.50757428,0.5015843600000001,0.50081564,0.5111679600000001,0.5105820799999999,0.5040167600000001,0.51382364,0.52247836
3992.5,0.50863016,0.51274924,0.50878512,0.5014752,0.5019469599999999,0.5134409600000001,0.5110646,0.50645448,0.5162934,0.52773744
4020.5,0.50915148,0.51295508,0.50892964,0.50079712,0.50214932,0.51470656,0.5114685999999999,0.50736888,0.5241764,0.53103024
4048.5,0.50963352,0.51324632,0.51075752,0.5006820399999999,0.50182312,0.5160898,0.5119115599999999,0.50871596,0.5144692799999999,0.5345174
4076.5,0.5098130799999999,0.51367584,0.5122701999999999,0.50108668,0.50273828,0.517226,0.5122242,0.5103133599999999,0.50632088,0.5358234799999999
4104.5,0.51037904,0.5139908,0.51332524,0.50052684,0.5038204000000001,0.51909168,0.51269464,0.51174732,0.52050688,0.54045456
4132.5,0.51098216,0.5144168,0.51474964,0.50017712,0.50501308,0.52159984,0.5132354,0.51230352,0.5268306199999999,0.54476256
4160.5,0.51142892,0.5145414,0.5156036799999999,0.49910192,0.5050560399999999,0.52233004,0.51354008,0.51528904,0.52209448,0.5470535200000001
4188.5,0.5120478,0.51504132,0.5156645200000001,0.49862316,0.50459588,0.52347504,0.51413724,0.5162030799999999,0.52613112,0.5496991600000001
4216.5,0.51256852,0.5151602799999999,0.51695556,0.49795280000000003,0.50509976,0.5245492399999999,0.51450924,0.51625804,0.5246950400000001,0.55291052
4244.5,0.51322952,0.51561788,0.51854932,0.4975912,0.50595796,0.5261180400000001,0.5150834799999999,0.51679048,0.5257786799999999,0.5568473599999999
4272.5,0.51371808,0.5159892,0.51948116,0.49716884000000006,0.50740588,0.5282004,0.51556952,0.51772816,0.52379784,0.56050476
4300.5,0.51428228,0.51657732,0.52065184,0.4969304,0.50842352,0.5306440800000001,0.5161338799999999,0.51931208,0.52318188,0.5644927200000001
4328.5,0.51473668,0.51694284,0.5219794,0.49659096,0.5091454400000001,0.5321768,0.51660792,0.52135128,0.52233088,0.5680307600000001
4356.5,0.5153645600000001,0.5173868800000001,0.52376464,0.49603852,0.50931584,0.5335943599999999,0.51716916,0.5229914,0.52704236,0.5716045999999999
4384.5,0.5159192,0.51805224,0.52452512,0.49583572,0.5122918,0.53691716,0.51779204,0.52526328,0.5271695000000001,0.57625772
4412.5,0.51636556,0.5185102,0.5271008799999999,0.49542252,0.51199712,0.53761936,0.5182365200000001,0.5254518,0.5249283600000001,0.57869624
4440.5,0.5170652,0.5190178400000001,0.52796568,0.4948036,0.5118454,0.53900596,0.51893408,0.5271472399999999,0.5286292400000001,0.5824394
4468.5,0.5176578,0.51945032,0.5296964799999999,0.49435624,0.5118909199999999,0.5402385199999999,0.5194874,0.52856012,0.5245911600000001,0.5853865600000001
4496.5,0.51831264,0.5199374,0.53132676,0.49376756,0.51216488,0.54196564,0.5200584,0.53061892,0.53268048,0.58835544
4524.5,0.51891068,0.52043184,0.5331195200000001,0.49324224,0.51221392,0.54331464,0.52063964,0.53302836,0.53220864,0.59136436
4552.5,0.51968004,0.5211492,0.53530076,0.4927612,0.5133911200000001,0.5460772,0.5213941200000001,0.5358228399999999,0.53557026,0.59595272
4580.5,0.52039656,0.5217166,0.5372437999999999,0.49243328,0.5134488,0.5471370799999999,0.5220532,0.53774444,0.5337837200000001,0.59888712
4608.5,0.5210832,0.5220796400000001,0.53831812,0.49166116000000004,0.51308636,0.54811384,0.52260964,0.53867388,0.5380722,0.60185896
4636.5,0.5216764,0.52250628,0.5395408799999999,0.49091348,0.51316468,0.5490620399999999,0.52312364,0.5404001199999999,0.53550288,0.60382652
4664.5,0.5223978,0.5232014,0.54184648,0.49060124000000005,0.51424756,0.55160412,0.52385204,0.5424918,0.536365,0.60811956
4692.5,0.5231734,0.5238531200000001,0.54386868,0.49034387999999995,0.5155728399999999,0.5542726800000001,0.52458288,0.5451677600000001,0.53784448,0.6128734
4720.5,0.52388152,0.524321,0.54739528,0.48970492,0.51683736,0.55621456,0.5251969999999999,0.54642792,0.53980612,0.61622676
4748.5,0.52459756,0.5247592,0.5486762,0.48926248,0.51739764,0.5580096,0.52581824,0.547783,0.5407451999999999,0.61933544
4776.5,0.5253085200000001,0.52522036,0.5518162,0.48857348,0.51725648,0.5592661999999999,0.5264457600000001,0.5489252,0.54091948,0.6217228
4804.5,0.5260514,0.52575004,0.55432676,0.4879826,0.5188262800000001,0.56174296,0.5271300400000001,0.55033584,0.5451468399999999,0.6256740000000001
4832.5,0.52689408,0.52654432,0.5555802400000001,0.48761796,0.5203486399999999,0.56413768,0.52801564,0.5504770800000001,0.5443316600000001,0.6290061600000001
4860.5,0.5277096,0.52715184,0.5584414,0.48709484000000003,0.52029052,0.56568472,0.5287510799999999,0.55265828,0.5468392799999999,0.6323979200000001
4888.5,0.5284277199999999,0.52752928,0.5595864,0.48640959999999994,0.52165664,0.5676513599999999,0.5293119199999999,0.5548318400000001,0.54702816,0.63523216
4916.5,0.52914308,0.5279550000000001,0.56208156,0.48568476000000005,0.52213952,0.5688504400000001,0.5299638,0.55700488,0.5447493600000001,0.63852568
4944.5,0.52979472,0.5286242800000001,0.56318476,0.48527176,0.5215995999999999,0.56969756,0.5306597200000001,0.55899036,0.53975042,0.64062036
4972.5,0.5304286,0.52898172,0.5645235599999999,0.48456768,0.52142564,0.5708217200000001,0.5311904,0.5593210399999999,0.54553144,0.64299464
