,folder,rn,N_i,N_f,N_rs,N_rd,v_i,v_f,v_rs,v_rd,R0_i,R0_f,R0_rs,R0_rd,eta_i,eta_f,eta_rs,eta_rd,rp_i,rp_f,rp_rs,rp_rd,ts,force,T,runs,rho,gamma,sa,rdis,seed,R0_ramp,bb_a,bb_v,ou_d,ou_v,ou_l,ou_u
1612,./data/backup-01-11-5,data_1612,634925.4423778096,634925.4423778096,10,10,0.0,0.0,10,10,0.14710043111281343,1.0,10,10.0,0.4867290551059999,0.4867290551059999,10,10.0,0.4811126147592156,0.4811126147592156,10,10,7,none,20,1,0.0769,0.1667,0.3,100,130349,bb,1.6243285924105617,1e-05,0.01,1e-05,0,1
1613,./data/backup-01-11-5,data_1613,63554.28925104425,63554.28925104425,10,10,0.0,0.0,10,10,0.11721078917472995,1.0,10,10.0,0.12793233343471133,0.12793233343471133,10,10.0,0.23088333165092365,0.23088333165092365,10,10,7,none,20,1,0.0769,0.1667,0.3,100,834405,bb,2.1262286994679336,1e-05,0.01,1e-05,0,1
1614,./data/backup-01-11-5,data_1614,497090.6221341707,497090.6221341707,10,10,0.0,0.0,10,10,0.2751582531155603,1.0,10,10.0,0.03861004343924018,0.03861004343924018,10,10.0,0.4002892660717509,0.4002892660717509,10,10,7,none,20,1,0.0769,0.1667,0.3,100,1000321,bb,0.7347763930809506,1e-05,0.01,1e-05,0,1
1615,./data/backup-01-11-5,data_1615,92196.14921015222,92196.14921015222,10,10,0.0,0.0,10,10,0.7762848934542422,1.0,10,10.0,0.058062243248309234,0.058062243248309234,10,10.0,0.15988273406860057,0.15988273406860057,10,10,7,none,20,1,0.0769,0.1667,0.3,100,750784,bb,1.804261532056052,1e-05,0.01,1e-05,0,1
1616,./data/backup-01-11-5,data_1616,72169.38282255066,72169.38282255066,10,10,0.0,0.0,10,10,0.13496910541455615,1.0,10,10.0,0.07567609554512643,0.07567609554512643,10,10.0,0.1887624084098369,0.1887624084098369,10,10,7,none,20,1,0.0769,0.1667,0.3,100,337211,bb,0.5649462182523457,1e-05,0.01,1e-05,0,1
1617,./data/backup-01-11-5,data_1617,819503.8885175469,819503.8885175469,10,10,0.0,0.0,10,10,0.7539697814249883,1.0,10,10.0,0.05359349303372854,0.05359349303372854,10,10.0,0.12074688761035299,0.12074688761035299,10,10,7,none,20,1,0.0769,0.1667,0.3,100,195816,bb,2.7501404756694265,1e-05,0.01,1e-05,0,1
1618,./data/backup-01-11-5,data_1618,289409.02754811774,289409.02754811774,10,10,0.0,0.0,10,10,0.2919980690066483,1.0,10,10.0,0.07709292111103525,0.07709292111103525,10,10.0,0.22561086928878776,0.22561086928878776,10,10,7,none,20,1,0.0769,0.1667,0.3,100,434505,bb,0.27524463052265197,1e-05,0.01,1e-05,0,1
1619,./data/backup-01-11-5,data_1619,78885.2273888704,78885.2273888704,10,10,0.0,0.0,10,10,0.4782161978601318,1.0,10,10.0,0.1415466541518757,0.1415466541518757,10,10.0,0.3365146599995865,0.3365146599995865,10,10,7,none,20,1,0.0769,0.1667,0.3,100,241510,bb,0.2158714697648078,1e-05,0.01,1e-05,0,1
1620,./data/backup-01-11-5,data_1620,594886.3709593879,594886.3709593879,10,10,0.0,0.0,10,10,0.622415689916435,1.0,10,10.0,0.05728945571623454,0.05728945571623454,10,10.0,0.18989926322459239,0.18989926322459239,10,10,7,none,20,1,0.0769,0.1667,0.3,100,212402,bb,0.4198684682302417,1e-05,0.01,1e-05,0,1
1621,./data/backup-01-11-5,data_1621,2249650.151107788,2249650.151107788,10,10,0.0,0.0,10,10,0.3459135019464111,1.0,10,10.0,0.28299790983160883,0.28299790983160883,10,10.0,0.2617705964243231,0.2617705964243231,10,10,7,none,20,1,0.0769,0.1667,0.3,100,167992,bb,2.8006913467662624,1e-05,0.01,1e-05,0,1
1622,./data/backup-01-11-5,data_1622,604199.002439983,604199.002439983,10,10,0.0,0.0,10,10,0.7813755090738445,1.0,10,10.0,0.052681130343572545,0.052681130343572545,10,10.0,0.04857020040991709,0.04857020040991709,10,10,7,none,20,1,0.0769,0.1667,0.3,100,106772,bb,2.373497818570116,1e-05,0.01,1e-05,0,1
1623,./data/backup-01-11-5,data_1623,1784998.073176461,1784998.073176461,10,10,0.0,0.0,10,10,0.747660916019904,1.0,10,10.0,0.0550172385703584,0.0550172385703584,10,10.0,0.25212418116260044,0.25212418116260044,10,10,7,none,20,1,0.0769,0.1667,0.3,100,651741,bb,1.803342080133076,1e-05,0.01,1e-05,0,1
1624,./data/backup-01-11-5,data_1624,80708.8949011516,80708.8949011516,10,10,0.0,0.0,10,10,0.8533028711383054,1.0,10,10.0,0.03461289208599408,0.03461289208599408,10,10.0,0.2536622324465754,0.2536622324465754,10,10,7,none,20,1,0.0769,0.1667,0.3,100,827476,bb,1.84539020429954,1e-05,0.01,1e-05,0,1
1625,./data/backup-01-11-5,data_1625,89736.26097464605,89736.26097464605,10,10,0.0,0.0,10,10,0.7006515707254887,1.0,10,10.0,0.03389827624019829,0.03389827624019829,10,10.0,0.3873853212192214,0.3873853212192214,10,10,7,none,20,1,0.0769,0.1667,0.3,100,70192,bb,3.8017754715169882,1e-05,0.01,1e-05,0,1
1626,./data/backup-01-11-5,data_1626,813098.5456997358,813098.5456997358,10,10,0.0,0.0,10,10,0.41874194638923046,1.0,10,10.0,0.23351645558612122,0.23351645558612122,10,10.0,0.3056408444402767,0.3056408444402767,10,10,7,none,20,1,0.0769,0.1667,0.3,100,339300,bb,1.9666119070280192,1e-05,0.01,1e-05,0,1
1627,./data/backup-01-11-5,data_1627,88283.44070140577,88283.44070140577,10,10,0.0,0.0,10,10,0.1807804130274217,1.0,10,10.0,0.04399251763099755,0.04399251763099755,10,10.0,0.11755869470143744,0.11755869470143744,10,10,7,none,20,1,0.0769,0.1667,0.3,100,13679,bb,4.38048593132558,1e-05,0.01,1e-05,0,1
1628,./data/backup-01-11-5,data_1628,2797978.9143181113,2797978.9143181113,10,10,0.0,0.0,10,10,0.17403014844395243,1.0,10,10.0,0.0556424115602954,0.0556424115602954,10,10.0,0.43147786378546227,0.43147786378546227,10,10,7,none,20,1,0.0769,0.1667,0.3,100,1037081,bb,4.466346836519664,1e-05,0.01,1e-05,0,1
1629,./data/backup-01-11-5,data_1629,149098.27675738663,149098.27675738663,10,10,0.0,0.0,10,10,0.1511886848686552,1.0,10,10.0,0.06902033134943203,0.06902033134943203,10,10.0,0.30376429292962426,0.30376429292962426,10,10,7,none,20,1,0.0769,0.1667,0.3,100,94561,bb,2.0038117815082526,1e-05,0.01,1e-05,0,1
1630,./data/backup-01-11-5,data_1630,4108532.1714469464,4108532.1714469464,10,10,0.0,0.0,10,10,0.32279834987972766,1.0,10,10.0,0.039171979449643714,0.039171979449643714,10,10.0,0.09303463900777069,0.09303463900777069,10,10,7,none,20,1,0.0769,0.1667,0.3,100,597802,bb,0.9349416541279523,1e-05,0.01,1e-05,0,1
1631,./data/backup-01-11-5,data_1631,4693890.068246342,4693890.068246342,10,10,0.0,0.0,10,10,0.34393581522414174,1.0,10,10.0,0.2951176396783799,0.2951176396783799,10,10.0,0.28601719541842086,0.28601719541842086,10,10,7,none,20,1,0.0769,0.1667,0.3,100,625860,bb,1.7453518233384875,1e-05,0.01,1e-05,0,1
1632,./data/backup-01-11-5,data_1632,58775.13805815563,58775.13805815563,10,10,0.0,0.0,10,10,0.7197492200239909,1.0,10,10.0,0.7365181479675179,0.7365181479675179,10,10.0,0.20523441673789067,0.20523441673789067,10,10,7,none,20,1,0.0769,0.1667,0.3,100,563941,bb,1.567784601485105,1e-05,0.01,1e-05,0,1
1633,./data/backup-01-11-5,data_1633,4506431.555315858,4506431.555315858,10,10,0.0,0.0,10,10,0.7720443950787846,1.0,10,10.0,0.7007480441421081,0.7007480441421081,10,10.0,0.2235426370790148,0.2235426370790148,10,10,7,none,20,1,0.0769,0.1667,0.3,100,412313,bb,0.38061908604480316,1e-05,0.01,1e-05,0,1
1634,./data/backup-01-11-5,data_1634,496259.2414165414,496259.2414165414,10,10,0.0,0.0,10,10,0.6443244890757713,1.0,10,10.0,0.15029862207508188,0.15029862207508188,10,10.0,0.47718404525938746,0.47718404525938746,10,10,7,none,20,1,0.0769,0.1667,0.3,100,660988,bb,0.4889718219543199,1e-05,0.01,1e-05,0,1
1635,./data/backup-01-11-5,data_1635,79297.13319225106,79297.13319225106,10,10,0.0,0.0,10,10,0.16663940925771475,1.0,10,10.0,0.13052459749105644,0.13052459749105644,10,10.0,0.045840291262536303,0.045840291262536303,10,10,7,none,20,1,0.0769,0.1667,0.3,100,780682,bb,1.4891421642556342,1e-05,0.01,1e-05,0,1
