Time,mean,index_of_dispersion,autocorrelation,coefficient_of_variation,kurtosis,skewness,standard_deviation,ac2,timeseries,all
3656.5,0.49312250450090017,0.4900439687937588,0.496075775155031,0.5042460092018404,0.4995823164632927,0.5003611122224445,0.4918577715543109,0.4963411482296459,0.4922646329265853,0.4941508701740348
3684.5,0.4931222644528906,0.48986357271454295,0.49507545509101825,0.5041470294058812,0.49906457291458295,0.49999287857571517,0.49180032006401275,0.49606825365073015,0.49528695739147827,0.4944649729945989
3712.5,0.4933021804360872,0.4899896779355871,0.4946894978995799,0.5036941788357672,0.49807733546709343,0.4999715143028606,0.4919217043408682,0.49644108821764354,0.5022565713142628,0.4956874174834967
3740.5,0.49388409681936396,0.4907412682536507,0.49614146829365874,0.5031173834766953,0.4976654530906181,0.5008255651130226,0.4925171434286858,0.4954867373474695,0.5137690138027606,0.4983785157031406
3768.5,0.4940310862172435,0.4899802360472094,0.49691666333266654,0.5028150030006001,0.4971158631726345,0.5007144228845769,0.49259643928785757,0.4973931586317264,0.49958475695139026,0.49926513302660536
3796.5,0.4946614922984597,0.4900765353070614,0.4973345469093819,0.5022943388677735,0.4973720344068814,0.5017783156631327,0.4932634126825365,0.498580476095219,0.5112243448689738,0.5019408681736347
3824.5,0.49491096,0.49065212,0.49864796,0.50214732,0.49788808000000007,0.50300532,0.49356584,0.4990454,0.5067815,0.50439772
3852.5,0.49528795999999997,0.49204455999999996,0.50055828,0.50232624,0.49801532,0.5042401999999999,0.49431056,0.5001702,0.50634422,0.5085434799999999
3880.5,0.49569012,0.49393004,0.50103984,0.5025645200000001,0.49857488000000005,0.50574988,0.49511888000000004,0.50075164,0.50247882,0.5109636
3908.5,0.49641548,0.49532444,0.50331928,0.50204236,0.49922404,0.50748832,0.49599256,0.5025046,0.51382382,0.51470416
3936.5,0.49705444000000004,0.4967962,0.5047532,0.5019032400000001,0.50003748,0.50960768,0.49692411999999997,0.5035354400000001,0.51106104,0.51889272
3964.5,0.49768652,0.49797603999999995,0.50757428,0.5015843600000001,0.50081564,0.5111679600000001,0.49765688,0.5040167600000001,0.5137971800000001,0.52209396
3992.5,0.49835367999999997,0.49931159999999997,0.50878512,0.5014752,0.5019469599999999,0.5134409600000001,0.49862295999999995,0.50645448,0.51591442,0.52727956
4020.5,0.49922128,0.49989188,0.50892964,0.50079712,0.50214932,0.51470656,0.49954704,0.50736888,0.5222810999999999,0.5306343600000001
4048.5,0.49982544,0.50095456,0.51075752,0.5006820399999999,0.50182312,0.5160898,0.50038604,0.50871596,0.51424746,0.53431352
4076.5,0.49999943999999996,0.50249528,0.5122701999999999,0.50108668,0.50273828,0.517226,0.50091888,0.5103133599999999,0.5041437,0.5355367600000001
4104.5,0.50074608,0.50363536,0.51332524,0.50052684,0.5038204000000001,0.51909168,0.50179788,0.51174732,0.51811286,0.540264
4132.5,0.50155816,0.50455524,0.51474964,0.50017712,0.50501308,0.52159984,0.50280036,0.51230352,0.5244865,0.54464764
4160.5,0.5022646799999999,0.5045722,0.5156036799999999,0.49910192,0.5050560399999999,0.52233004,0.5032418,0.51528904,0.5222656400000001,0.54679588
4188.5,0.50314864,0.50598276,0.5156645200000001,0.49862316,0.50459588,0.52347504,0.50429884,0.5162030799999999,0.5236297999999999,0.54938724
4216.5,0.50383156,0.50628768,0.51695556,0.49795280000000003,0.50509976,0.5245492399999999,0.50494064,0.51625804,0.52337208,0.55259284
4244.5,0.50472436,0.50788088,0.51854932,0.4975912,0.50595796,0.5261180400000001,0.5060272800000001,0.51679048,0.5251003,0.5564891599999999
4272.5,0.5055002799999999,0.50890996,0.51948116,0.49716884000000006,0.50740588,0.5282004,0.50695924,0.51772816,0.52499476,0.56017024
4300.5,0.50631336,0.5108003600000001,0.52065184,0.4969304,0.50842352,0.5306440800000001,0.50812284,0.51931208,0.52370322,0.5638666800000001
4328.5,0.5069395600000001,0.51238664,0.5219794,0.49659096,0.5091454400000001,0.5321768,0.50894264,0.52135128,0.5205790800000001,0.56742028
4356.5,0.5078393600000001,0.51429804,0.52376464,0.49603852,0.50931584,0.5335943599999999,0.51007416,0.5229914,0.52689824,0.57073136
4384.5,0.50870172,0.51654488,0.52452512,0.49583572,0.5122918,0.53691716,0.51139064,0.52526328,0.52779066,0.57512412
4412.5,0.50949736,0.51805436,0.5271008799999999,0.49542252,0.51199712,0.53761936,0.5123753600000001,0.5254518,0.52538052,0.57780956
4440.5,0.51046012,0.5197992,0.52796568,0.4948036,0.5118454,0.53900596,0.5135484800000001,0.5271472399999999,0.5302479200000001,0.5813718
4468.5,0.51127648,0.5210857200000001,0.5296964799999999,0.49435624,0.5118909199999999,0.5402385199999999,0.51453408,0.52856012,0.52770576,0.58453512
4496.5,0.5122961199999999,0.5222252000000001,0.53132676,0.49376756,0.51216488,0.54196564,0.51573488,0.53061892,0.5350187200000001,0.58762436
4524.5,0.5132595600000001,0.52350856,0.5331195200000001,0.49324224,0.51221392,0.54331464,0.51684808,0.53302836,0.53164446,0.590562
4552.5,0.51444432,0.5258872,0.53530076,0.4927612,0.5133911200000001,0.5460772,0.5183676399999999,0.5358228399999999,0.5379064,0.59540328
4580.5,0.51540416,0.5275404800000001,0.5372437999999999,0.49243328,0.5134488,0.5471370799999999,0.5195914,0.53774444,0.53534198,0.59839336
4608.5,0.51639956,0.5284678,0.53831812,0.49166116000000004,0.51308636,0.54811384,0.5206127999999999,0.53867388,0.54004124,0.601391
4636.5,0.51735756,0.52986824,0.5395408799999999,0.49091348,0.51316468,0.5490620399999999,0.52167012,0.5404001199999999,0.53708244,0.6034115999999999
4664.5,0.51854844,0.53235916,0.54184648,0.49060124000000005,0.51424756,0.55160412,0.5232848,0.5424918,0.5407310599999999,0.60764352
4692.5,0.51962528,0.53458444,0.54386868,0.49034387999999995,0.5155728399999999,0.5542726800000001,0.52476612,0.5451677600000001,0.5401243,0.61249272
4720.5,0.5206288400000001,0.53609748,0.54739528,0.48970492,0.51683736,0.55621456,0.52589668,0.54642792,0.54254492,0.615985
4748.5,0.52155724,0.53759884,0.5486762,0.48926248,0.51739764,0.5580096,0.52706968,0.547783,0.54196192,0.61908488
4776.5,0.5226481199999999,0.53925744,0.5518162,0.48857348,0.51725648,0.5592661999999999,0.5283406399999999,0.5489252,0.54601016,0.62162744
4804.5,0.52375352,0.5404882799999999,0.55432676,0.4879826,0.5188262800000001,0.56174296,0.52961616,0.55033584,0.54630208,0.6253879999999999
4832.5,0.52497476,0.54285116,0.5555802400000001,0.48761796,0.5203486399999999,0.56413768,0.53129352,0.5504770800000001,0.54659966,0.62863504
4860.5,0.5261816,0.54492828,0.5584414,0.48709484000000003,0.52029052,0.56568472,0.5328982,0.55265828,0.5484018199999999,0.6321784800000001
4888.5,0.52730792,0.5461699200000001,0.5595864,0.48640959999999994,0.52165664,0.5676513599999999,0.5341535599999999,0.5548318400000001,0.54823482,0.6350914400000001
4916.5,0.52830752,0.54730996,0.56208156,0.48568476000000005,0.52213952,0.5688504400000001,0.53522956,0.55700488,0.5467630800000001,0.63859924
4944.5,0.5292145199999999,0.5487860800000001,0.56318476,0.48527176,0.5215995999999999,0.56969756,0.53637116,0.55899036,0.54224352,0.6407114
4972.5,0.53026412,0.54940688,0.5645235599999999,0.48456768,0.52142564,0.5708217200000001,0.53739672,0.5593210399999999,0.5498217599999999,0.6432048
5000.5,0.53112864,0.55066532,0.56644472,0.48420152000000005,0.5219398000000001,0.57210556,0.53843576,0.56235236,0.5451840000000001,0.64581764
5028.5,0.53229932,0.5524100000000001,0.56874504,0.48350612,0.5217208799999999,0.5728960000000001,0.53982524,0.56612056,0.5488907199999999,0.6477318
5056.5,0.53338556,0.5540404400000001,0.57050196,0.48293716000000003,0.52183348,0.5739580799999999,0.5410806,0.56738904,0.54989006,0.6502252000000001
5084.5,0.53454928,0.55585836,0.5725541599999999,0.48259196,0.52313432,0.57632388,0.54255192,0.5697034000000001,0.5522018200000001,0.65329344
5112.5,0.53570364,0.55758524,0.5742083600000001,0.48171588,0.52414172,0.57780836,0.54380644,0.5726357200000001,0.5550950600000001,0.6565206
5140.5,0.53694208,0.55992576,0.5756884,0.48165792,0.5239816399999999,0.5789344399999999,0.5455162,0.57465248,0.5514984999999999,0.6593302
5168.5,0.53822848,0.5617058,0.5776918,0.48075524,0.524308,0.58034296,0.5469508,0.57647384,0.55829618,0.66247168
5196.5,0.5395947600000001,0.56464808,0.58064204,0.48030211999999994,0.52536476,0.5827026000000001,0.54878116,0.5792370800000001,0.56041178,0.6664691199999999
5224.5,0.54083476,0.56678188,0.5834482400000001,0.47976604,0.52699304,0.58504,0.5503259599999999,0.58173332,0.55996812,0.67085348
5252.5,0.5420896000000001,0.5680374,0.5853572,0.47890760000000004,0.5258470399999999,0.58578176,0.551666,0.58368552,0.56281168,0.6735542400000001
5280.5,0.54345692,0.57000728,0.5880372,0.47809252,0.52641124,0.58773968,0.55333964,0.58732976,0.5659459600000001,0.6772345200000001
5308.5,0.54481948,0.57107664,0.5895125999999999,0.47714112000000003,0.5263832799999999,0.5885923200000001,0.55477972,0.58836784,0.56613876,0.67918864
